order_id,date,region,sales_rep,product_category,product_name,quantity,unit_price,total_revenue,cost_of_goods,profit,customer_segment,payment_method
ORD-10032,2024-04-23,Southwest,Jennifer Walsh,Office Supplies,Paper Shredder,3,149.99,449.97,270.00,179.97,Business,Purchase Order
ORD-10033,2024-04-27,Midwest,Marcus Rodriguez,Electronics,Gaming Mouse,8,69.99,559.92,280.00,279.92,Consumer,Credit Card
ORD-10034,2024-04-30,Southeast,David Kim,Sports & Outdoors,Water Bottle Set,15,24.99,374.85,150.00,224.85,Consumer,Debit Card
ORD-10035,2024-05-03,West,Jennifer Walsh,Home & Garden,Ceiling Fan,2,199.99,399.98,240.00,159.98,Consumer,Credit Card
ORD-10036,2024-05-07,Northeast,Michael Brown,Electronics,Laptop Backpack,9,89.99,809.91,405.00,404.91,Consumer,PayPal
ORD-10037,2024-05-10,Southwest,Sarah Chen,Office Supplies,Adjustable Desk Lamp,6,79.99,479.94,240.00,239.94,Business,Credit Card
ORD-10038,2024-05-14,Midwest,Marcus Rodriguez,Electronics,Wireless Charger,12,39.99,479.88,216.00,263.88,Consumer,Credit Card
ORD-10039,2024-05-17,Southeast,Jennifer Walsh,Sports & Outdoors,Foam Roller,10,34.99,349.90,150.00,199.90,Consumer,Debit Card
ORD-10040,2024-05-21,West,David Kim,Home & Garden,Blender,5,129.99,649.95,375.00,274.95,Consumer,PayPal
ORD-10041,2024-05-24,Northeast,Sarah Chen,Electronics,Graphics Tablet,2,249.99,499.98,300.00,199.98,Business,Purchase Order
ORD-10042,2024-05-28,Southwest,Michael Brown,Office Supplies,Bookshelf,4,179.99,719.96,440.00,279.96,Consumer,Credit Card
ORD-10043,2024-05-31,Midwest,Jennifer Walsh,Electronics,Streaming Microphone,3,189.99,569.97,330.00,239.97,Business,Credit Card
ORD-10044,2024-06-04,Southeast,Marcus Rodriguez,Sports & Outdoors,Bike Helmet,7,79.99,559.93,280.00,279.93,Consumer,Debit Card
ORD-10045,2024-06-07,West,Sarah Chen,Home & Garden,Indoor Plant Set,8,49.99,399.92,200.00,199.92,Consumer,PayPal
ORD-10046,2024-06-11,Northeast,David Kim,Electronics,Smart Watch,4,299.99,1199.96,720.00,479.96,Consumer,Credit Card
ORD-10047,2024-06-14,Southwest,Jennifer Walsh,Office Supplies,Mesh Office Chair,2,399.99,799.98,520.00,279.98,Business,Purchase Order
ORD-10048,2024-06-18,Midwest,Michael Brown,Electronics,Ring Light,6,59.99,359.94,180.00,179.94,Business,Credit Card
ORD-10049,2024-06-21,Southeast,Marcus Rodriguez,Sports & Outdoors,Yoga Blocks,18,14.99,269.82,90.00,179.82,Consumer,Debit Card
ORD-10050,2024-06-25,West,Jennifer Walsh,Home & Garden,Slow Cooker,4,89.99,359.96,200.00,159.96,Consumer,Credit Card
